City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
348,Santa Isabel,BR,80.4,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
349,Santa Marta,CO,87.85,scattered clouds,11.2408,-74.199,Casa de Isabella
351,Port Hedland,AU,87.85,broken clouds,-20.3167,118.5667,The Esplanade Hotel
352,Quelimane,MZ,84.15,scattered clouds,-17.8786,36.8883,Hotel Flamingo
355,Matara,LK,76.68,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
359,Namatanai,PG,78.73,light rain,-3.6667,152.4333,Seagulls Inn Namatani
360,Porto Belo,BR,75.15,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
361,Bengkulu,ID,75.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
363,Abeokuta,NG,87.35,broken clouds,7.15,3.35,Continental Suites Lodge
364,Bilma,NE,72.14,clear sky,18.6853,12.9164,Expeditions Ténére voyages
366,Oriximina,BR,88.79,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
367,Kattivakkam,IN,82.08,clear sky,13.2167,80.3167,Euronova Freezer
372,Kalemie,CD,72.64,light rain,-5.9475,29.1947,Mahobilali
374,Ixtapa,MX,78.03,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
375,Makakilo City,US,77.32,moderate rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
379,Mogadishu,SO,79.86,scattered clouds,2.0371,45.3438,Hotel Juba
383,Acapulco,MX,87.62,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
387,Makasar,ID,75.25,very heavy rain,-5.14,119.4221,Hotel Horison Ultima Makassar
388,Hithadhoo,MV,81.18,broken clouds,-0.6,73.0833,Scoop Guest House
389,Taganak,PH,78.94,broken clouds,6.0833,118.3,Taganak
391,Karratha,AU,87.19,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
395,Aden,YE,79.41,clear sky,12.7794,45.0367,Sama Emirate Hotel
398,Hambantota,LK,77.9,scattered clouds,6.1241,81.1185,Bungalow 63
399,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
400,Conselheiro Pena,BR,75.43,moderate rain,-19.1722,-41.4722,Hotel Bela Adormecida
402,Monrovia,LR,85.77,broken clouds,6.3005,-10.7969,Sunset Inn
407,Kavaratti,IN,80.55,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
410,Areia Branca,BR,84.4,scattered clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
411,Ternate,ID,81.34,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
414,Angoche,MZ,81.55,broken clouds,-16.2325,39.9086,Guest House HESADA
415,Boyuibe,BO,78.71,overcast clouds,-20.4167,-63.2833,Residencial Eluzai
417,La Asuncion,VE,81.91,broken clouds,11.0333,-63.8628,Colinas de Matasiete
419,Bima,ID,75.56,heavy intensity rain,-8.4667,118.7167,Lambitu Hotel
421,Dingle,PH,72.79,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
425,Faranah,GN,81.27,clear sky,10.0404,-10.7434,Chez mon oncle
427,Talara,PE,81.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
429,Tres Arroyos,AR,83.66,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
431,Banda Aceh,ID,79.47,broken clouds,5.5577,95.3222,Sulthan Hotel International
435,Buala,SB,79.25,light rain,-8.145,159.5921,Maringe Lagoon Lodge
436,Kahului,US,73.85,heavy intensity rain,20.8947,-156.47,Maui Seaside Hotel
437,Charters Towers,AU,73.98,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
438,Sao Felix Do Xingu,BR,85.17,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
448,Senanga,ZM,73.62,light rain,-16.1167,23.2667,Zango lodge
450,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
452,Poso,ID,77.76,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
455,Hirara,JP,72.84,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
457,San Juan,AR,89.26,clear sky,-31.5375,-68.5364,Hotel Provincial
459,Hobyo,SO,79.05,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
462,Maldonado,UY,74.59,broken clouds,-34.6667,-54.9167,La Cimarrona
463,Labuhan,ID,77.45,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
466,Daru,PG,79.39,overcast clouds,-9.0763,143.2092,Daru Lodge
471,Iberia,US,78.87,clear sky,29.9502,-91.7507,back to back rv park
476,Gigmoto,PH,78.6,broken clouds,13.7796,124.39,Cj's Travellers Inn
481,San Isidro,PE,73.26,broken clouds,-12.1167,-77.05,Soul Mate-Inn
482,Saint Pete Beach,US,82.87,overcast clouds,27.7253,-82.7412,Grand Plaza Hotel - St. Pete Beach
483,Naranjal,EC,88.54,light rain,-2.6667,-79.6167,Media Naranja
486,Maragogi,BR,83.25,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
487,Macenta,GN,79.81,broken clouds,8.5435,-9.471,Hôtel Yansané
489,Matamoros,MX,73.51,broken clouds,25.5333,-103.25,Quinta Belem
501,Buin,CL,83.05,clear sky,-33.7333,-70.75,Paihuen
502,Trinidad,BO,85.98,broken clouds,-14.8333,-64.9,Hotel Piesta
508,Japura,ID,74.05,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
511,Luganville,VU,77.52,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
513,Bage,BR,80.38,clear sky,-31.3314,-54.1069,Hotel Obino - Bagé
514,Juba,SS,88.43,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
515,Payo,ID,72.46,overcast clouds,-3.7508,103.6372,Mess keban agung
516,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
520,San Patricio,US,84.29,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
524,La Candelaria,VE,90.84,scattered clouds,9.6855,-63.4038,Propiedad R&S RR1318
527,Karaton,ID,77.95,moderate rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
530,Diamantino,BR,84.79,broken clouds,-14.4086,-56.4461,Hotel Delta
532,Alindao,CF,84.29,overcast clouds,5.0267,21.2088,OCHA Alindao
537,Moron,AR,83.01,scattered clouds,-34.6534,-58.6198,Hotel Morón
540,Puerto Escondido,MX,86.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
551,Loubomo,CG,74.16,overcast clouds,-4.1997,12.6739,La Dolisienne
559,Samana,DO,84.42,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
565,Gorontalo,ID,75.16,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
567,Biltine,TD,81.99,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
579,General Pico,AR,80.56,clear sky,-35.6566,-63.7568,Euskadi Hotel
585,Progreso,MX,86.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
588,Altamira,BR,89.69,broken clouds,-3.2033,-52.2064,Requinte Hotel
589,Houma,US,79.0,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
590,Salima,MW,80.1,scattered clouds,-13.7804,34.4587,YAMIKANI LODGE
591,Alta Floresta,BR,87.62,scattered clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
599,Buchanan,LR,85.96,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
600,Soyo,AO,78.85,overcast clouds,-6.1349,12.3689,Hotel Mpampa
607,Santa Rosa,PH,77.11,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
612,Honiara,SB,78.96,overcast clouds,-9.4333,159.95,Heritage Park Hotel
613,Cockburn Town,TC,80.58,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
615,Montepuez,MZ,78.46,overcast clouds,-13.1256,38.9997,PembaAparthotel
620,Lindi,TZ,75.83,light rain,-10.0,39.7167,Lindi paradise house
621,Maceio,BR,89.04,broken clouds,-9.6658,-35.7353,Poutur Pousada
626,Bol,TD,78.6,scattered clouds,13.4586,14.7147,Hotel 3 Etoiles
628,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
637,Olinda,BR,85.73,few clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
646,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
647,Le Port,RE,80.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
648,Barra Do Garcas,BR,88.38,clear sky,-15.89,-52.2567,Hotel Pousada Tropical
650,Mataram,ID,74.21,moderate rain,-8.5833,116.1167,Hotel Santika Mataram
654,Kailua,US,78.78,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
655,Kuala Terengganu,MY,80.55,moderate rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
656,Kapoeta,SS,87.39,broken clouds,4.7717,33.5903,Eastgate Hotel
662,Mananjary,MG,76.78,clear sky,-21.2167,48.3333,Vahiny Lodge
664,Yulara,AU,73.24,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
667,Pitimbu,BR,88.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
670,Rock Sound,BS,78.76,scattered clouds,24.9,-76.2,Rock Sound Club
671,Uvira,CD,74.37,overcast clouds,-3.4067,29.1458,Hotel Suzana
