City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
144,Kamina,CD,2021-12-06 17:40:53,-8.7386,24.9906,65.26,96,96,4.18,light rain
145,Te Anau,NZ,2021-12-06 17:40:53,-45.4167,167.7167,41.67,95,33,1.5,scattered clouds
146,Sabang,ID,2021-12-06 17:40:54,5.8933,95.3214,81.99,74,57,19.69,broken clouds
147,Tuatapere,NZ,2021-12-06 17:40:54,-46.1333,167.6833,47.82,91,12,3.85,few clouds
148,Sungaipenuh,ID,2021-12-06 17:33:29,-2.0833,101.3833,64.44,94,99,1.5,overcast clouds
149,Aguimes,ES,2021-12-06 17:40:55,27.9054,-15.4461,65.03,64,40,17.27,scattered clouds
150,Caravelas,BR,2021-12-06 17:40:55,-17.7125,-39.2481,82.62,64,27,10.83,light rain
151,Awbari,LY,2021-12-06 17:40:56,26.5921,12.7805,56.12,26,0,12.3,clear sky
152,Severo-Kurilsk,RU,2021-12-06 17:40:56,50.6789,156.125,36.05,87,90,13.22,overcast clouds
153,Diapaga,BF,2021-12-06 17:40:57,12.0708,1.7889,85.39,15,70,6.53,broken clouds
154,Fortuna,US,2021-12-06 17:34:55,40.5982,-124.1573,49.35,69,100,3.0,overcast clouds
155,Hamilton,US,2021-12-06 17:38:31,39.1834,-84.5333,40.44,68,20,1.99,few clouds
156,Port Hardy,CA,2021-12-06 17:35:17,50.6996,-127.4199,38.75,87,90,32.21,overcast clouds
157,Arraial Do Cabo,BR,2021-12-06 17:33:31,-22.9661,-42.0278,78.66,73,75,6.91,thunderstorm
158,Zhangye,CN,2021-12-06 17:40:57,38.9342,100.4517,26.87,53,62,3.85,broken clouds
159,Thompson,CA,2021-12-06 17:34:23,55.7435,-97.8558,-21.84,76,1,4.61,clear sky
160,Yeppoon,AU,2021-12-06 17:33:33,-23.1333,150.7333,73.18,75,70,13.06,broken clouds
161,Mehamn,NO,2021-12-06 17:34:05,71.0357,27.8492,28.35,93,90,18.41,light shower snow
162,Misratah,LY,2021-12-06 17:40:58,32.3754,15.0925,57.36,55,31,29.57,scattered clouds
163,Inverell,AU,2021-12-06 17:40:58,-29.7833,151.1167,63.1,93,100,4.0,moderate rain
164,Shaunavon,CA,2021-12-06 17:40:59,49.6501,-108.4181,4.78,88,100,7.65,overcast clouds
165,Mount Isa,AU,2021-12-06 17:34:01,-20.7333,139.5,73.17,73,97,12.66,overcast clouds
166,Mahebourg,MU,2021-12-06 17:40:59,-20.4081,57.7,79.25,73,40,6.91,scattered clouds
167,Lumberton,US,2021-12-06 17:40:59,34.6182,-79.0086,74.21,47,59,16.17,broken clouds
168,Ancud,CL,2021-12-06 17:41:00,-41.8697,-73.8203,71.65,50,0,4.56,clear sky
169,Pevek,RU,2021-12-06 17:33:42,69.7008,170.3133,-11.04,94,100,16.51,overcast clouds
170,Byron Bay,AU,2021-12-06 17:39:16,-28.65,153.6167,69.87,89,100,3.85,overcast clouds
171,Aars,DK,2021-12-06 17:41:00,56.804,9.5144,32.79,88,100,15.05,overcast clouds
172,Shingu,JP,2021-12-06 17:41:00,33.7333,135.9833,57.45,87,99,7.23,overcast clouds
173,Yaan,NG,2021-12-06 17:41:01,7.3833,8.5667,85.73,22,98,0.76,overcast clouds
174,Batemans Bay,AU,2021-12-06 17:41:01,-35.7167,150.1833,62.2,93,96,5.66,overcast clouds
175,Lanigan,CA,2021-12-06 17:41:01,51.8501,-105.0344,-7.31,86,57,5.97,broken clouds
176,Port Elizabeth,ZA,2021-12-06 17:41:02,-33.918,25.5701,64.69,94,90,11.5,light rain
177,Touros,BR,2021-12-06 17:41:02,-5.1989,-35.4608,88.7,65,21,17.69,few clouds
178,Padang,ID,2021-12-06 17:33:45,-0.9492,100.3543,77.05,83,90,3.76,overcast clouds
179,Port Macquarie,AU,2021-12-06 17:41:03,-31.4333,152.9167,64.89,92,99,6.73,overcast clouds
180,Grindavik,IS,2021-12-06 17:33:44,63.8424,-22.4338,36.07,87,90,17.27,moderate rain
181,Olafsvik,IS,2021-12-06 17:41:03,64.8945,-23.7142,36.46,94,100,13.11,overcast clouds
182,Kavieng,PG,2021-12-06 17:41:04,-2.5744,150.7967,80.89,86,100,17.43,light rain
183,Okha,RU,2021-12-06 17:41:04,53.5739,142.9478,19.6,87,100,18.97,light snow
184,Esperance,AU,2021-12-06 17:41:04,-33.8667,121.9,57.04,73,36,11.1,scattered clouds
185,Teguldet,RU,2021-12-06 17:41:05,57.3064,88.1667,26.92,89,100,7.83,overcast clouds
186,Aripuana,BR,2021-12-06 17:41:05,-9.1667,-60.6333,83.68,70,97,4.7,moderate rain
187,Parrita,CR,2021-12-06 17:41:06,9.5201,-84.3225,96.26,67,12,6.62,few clouds
188,Coquimbo,CL,2021-12-06 17:41:06,-29.9533,-71.3436,64.33,69,62,7.16,broken clouds
189,Rio Cuarto,AR,2021-12-06 17:41:06,-33.1307,-64.3499,78.67,57,40,16.11,scattered clouds
190,Muroto,JP,2021-12-06 17:34:47,33.2833,134.15,56.34,67,4,5.14,clear sky
191,Clyde River,CA,2021-12-06 17:41:07,70.4692,-68.5914,8.83,85,100,18.41,light snow
192,Mildura,AU,2021-12-06 17:41:07,-34.2,142.15,60.76,55,11,8.05,few clouds
193,Neiafu,TO,2021-12-06 17:41:08,-18.65,-173.9833,77.68,88,75,5.75,broken clouds
194,State College,US,2021-12-06 17:41:08,40.7934,-77.86,54.0,82,90,3.0,mist
